"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_13349","tufB","elongation factor Tu","95","0","125","111","43.18181818181818","100.0","inf","2.006302626575649e-21","1.0401675967481453e-16","1.0401675967481453e-16","19","19","0","3.814697265625e-06","3.814697265625e-06"
"tufB","","elongation factor Tu","106","106","114","5","48.18181818181818","4.504504504504505","0.043859649122807015","3.283271002402444e-20","1.7022118511955469e-15","8.511059255977734e-16","30","4","26","5.947612226009371e-05","5.947612226009371e-05"
"group_13351","tufA","elongation factor Tu","81","0","139","111","36.81818181818181","100.0","inf","1.1614791317971241e-17","6.02168855880219e-13","2.0072295196007299e-13","15","15","0","6.103515625e-05","6.103515625e-05"
"group_20368","","hypothetical protein","74","0","146","111","33.63636363636363","100.0","inf","6.574062840465785e-16","3.4083228796394865e-11","8.520807199098716e-12","17","17","0","1.52587890625e-05","1.52587890625e-05"
"group_753","","hypothetical protein","73","0","147","111","33.18181818181819","100.0","inf","1.4764939674792547e-15","7.654882974396196e-11","1.5309765948792393e-11","7","7","0","0.015625","0.015625"
"ldrD_1","","LdrD peptide of the LdrD-RdlD toxin-antitoxin system","124","14","96","97","56.36363636363636","87.38738738738738","8.949404761904763","3.215292089679013e-15","1.6669681838940845e-10","2.7782803064901408e-11","37","27","12","0.007632078602910038","0.047031027439515996"
"group_403","cbeA_2","CP4-44 prophage; antitoxin of the CbtA-CbeA toxin-antitoxin system","83","2","137","109","37.72727272727273","98.1981981981982","33.018248175182485","3.792703516761142e-15","1.966327138264814e-10","2.809038768949734e-11","20","18","2","0.0004024505615234376","0.0004024505615234376"
"group_10638","","hypothetical protein","70","0","150","111","31.818181818181817","100.0","inf","6.767741618397022e-15","3.508735642057936e-10","3.898595157842151e-11","16","16","0","3.0517578125e-05","3.0517578125e-05"
"group_4868","","hypothetical protein","70","0","150","111","31.818181818181817","100.0","inf","6.767741618397022e-15","3.508735642057936e-10","3.898595157842151e-11","16","16","0","3.0517578125e-05","3.0517578125e-05"
"group_18227","","hypothetical protein","75","1","145","110","34.090909090909086","99.09909909909909","56.89655172413793","1.0399152618531112e-14","5.391440675077455e-10","5.3914406750774555e-11","17","16","1","0.000274658203125","0.000274658203125"
"group_25657","ybaM","small protein involved in the cell envelope stress response","127","16","93","95","57.72727272727273","85.58558558558559","8.108198924731182","1.2559657332293615e-14","6.511554343927625e-10","5.601014056357089e-11","9","8","3","0.0390625","0.5078125"
"group_2958","","hypothetical protein","100","7","120","104","45.45454545454545","93.69369369369369","12.380952380952381","1.2964059924059226e-14","6.721216867628506e-10","5.601014056357089e-11","25","22","7","0.00015652179718017584","0.04328525066375736"
"xerD_4","","site-specific recombinase","126","16","94","95","57.27272727272727","85.58558558558559","7.9587765957446805","1.5066088466595928e-14","7.811013565506658e-10","5.7530630811547606e-11","29","21","11","0.024119544774293886","0.26493089646101"
"group_13352","","hypothetical protein","69","0","151","111","31.363636363636367","100.0","inf","1.5535323201112286e-14","8.054288313616665e-10","5.7530630811547606e-11","15","15","0","6.103515625e-05","6.103515625e-05"
"gltA","","citrate synthase monomer","108","100","112","11","49.09090909090909","9.90990990990991","0.10607142857142857","1.869200994530309e-14","9.690872556142388e-10","6.460581704094925e-11","10","3","9","0.021484374999999997","0.3437499999999999"
"group_10358","","hypothetical protein","98","7","122","104","44.54545454545455","93.69369369369369","11.934426229508198","3.440946913866933e-14","1.7839589274943114e-09","1.1149743296839446e-10","20","17","5","0.002576828002929687","0.04138946533203125"
"group_26135","","hypothetical protein","78","2","142","109","35.45454545454545","98.1981981981982","29.93661971830986","3.9270946307735484e-14","2.0360022113245462e-09","1.1976483596026742e-10","22","20","2","0.00012111663818359382","0.00012111663818359382"
"ybaM","","small protein involved in the cell envelope stress response","91","93","129","18","41.36363636363637","16.216216216216218","0.13653413353338334","5.002808731222832e-14","2.593706186702477e-09","1.3845463266422966e-10","12","5","9","0.14599609375000003","0.7744140625000003"
"yjgH","","putative mRNA endoribonuclease","171","39","49","72","77.72727272727272","64.86486486486487","6.442700156985871","5.0740438241303176e-14","2.6306380206203633e-09","1.3845463266422966e-10","15","9","8","0.6072387695312501","0.9999999999999997"
"group_8609","","hypothetical protein","134","20","86","91","60.909090909090914","81.98198198198197","7.089534883720931","5.60969960366971e-14","2.9083487595225613e-09","1.4541743797612807e-10","7","6","3","0.125","0.9999999999999998"
"bdcA","","c-di-GMP binding protein involved in biofilm dispersal","174","41","46","70","79.0909090909091","63.06306306306306","6.458112407211028","6.411271364921496e-14","3.3239236391435495e-09","1.5108743814288863e-10","11","7","5","0.548828125","0.9999999999999997"
"bdcR","","putative transcriptional regulator","174","41","46","70","79.0909090909091","63.06306306306306","6.458112407211028","6.411271364921496e-14","3.3239236391435495e-09","1.5108743814288863e-10","11","7","5","0.548828125","0.9999999999999997"
"group_13065","rbsA_1","ribose ABC transporter - putative ATP binding subunit","77","2","143","109","35.0","98.1981981981982","29.346153846153847","8.190147192905543e-14","4.246181812161878e-09","1.846166005287773e-10","11","10","2","0.011718750000000002","0.06542968749999997"
"group_16796","","hypothetical protein","40","66","180","45","18.181818181818183","40.54054054054054","0.15151515151515152","8.550607490240665e-14","4.433062453315273e-09","1.8471093555480304e-10","3","2","2","1.0","1.0"
"bla_1","","Beta-lactamase CTX-M-1","76","2","144","109","34.54545454545455","98.1981981981982","28.76388888888889","9.859680826742966e-14","5.111751524624891e-09","2.0447006098499566e-10","19","17","2","0.0007286071777343752","0.0007286071777343752"
"bglF","","beta-glucoside PTS permease BglF - cryptic","55","75","165","36","25.0","32.432432432432435","0.16","1.0381068414693691e-13","5.382064919597944e-09","2.0700249690761323e-10","15","7","10","0.30175781250000017","0.9999999999999997"
"argR_2","","ArgR-arg","45","69","175","42","20.454545454545457","37.83783783783784","0.1565217391304348","1.1064842965187597e-13","5.736567835301509e-09","2.1246547538153736e-10","11","5","7","0.548828125","0.9999999999999997"
"ytfT","","galactofuranose / galactopyranose ABC transporter - putative membrane subunit","148","27","72","84","67.27272727272727","75.67567567567568","6.395061728395062","1.488495279021699e-13","7.717103774087997e-09","2.7277843930033563e-10","20","12","11","0.5034446716308595","0.8238029479980463"
"intA","","CP4-57 prophage; integrase","105","10","115","101","47.72727272727273","90.990990990991","9.221739130434782","1.5778110422886394e-13","8.18016134874545e-09","2.7277843930033563e-10","7","6","2","0.125","0.4531249999999996"
"group_18856","","hypothetical protein","47","70","173","41","21.363636363636363","36.93693693693694","0.15912469033856316","1.5784266909075258e-13","8.183353179010068e-09","2.7277843930033563e-10","6","4","5","0.21875000000000003","0.6875000000000002"
"group_14936","","hypothetical protein","88","5","132","106","40.0","95.4954954954955","14.133333333333333","1.702237241433621e-13","8.825248978212608e-09","2.8096541581065195e-10","24","20","5","0.0015438795089721682","0.006610751152038574"
"group_25821","","hypothetical protein","143","25","77","86","65.0","77.47747747747748","6.388571428571429","1.7747063345553153e-13","9.200964991502032e-09","2.8096541581065195e-10","25","17","13","0.10775214433670036","0.9999999999999997"
"group_10992","ytfT","galactofuranose / galactopyranose ABC transporter - putative membrane subunit","73","84","147","27","33.18181818181819","24.324324324324326","0.15962099125364432","1.7883805037615035e-13","9.271858721751515e-09","2.8096541581065195e-10","20","11","12","0.5034446716308595","0.8238029479980463"
"group_185","yfjQ_1","CP4-57 prophage; predicted protein","70","1","150","110","31.818181818181817","99.09909909909909","51.333333333333336","1.9545514537079158e-13","1.013337201174869e-08","2.9804035328672616e-10","19","18","1","7.62939453125e-05","7.62939453125e-05"
"mhpF","","acetaldehyde dehydrogenase 2","166","37","54","74","75.45454545454545","66.66666666666666","6.148148148148148","2.013250397789091e-13","1.0437696687337542e-08","2.9821990535250123e-10","20","12","10","0.5034446716308595","1.0"
"group_22032","yadM","putative fimbrial-like adhesin protein","40","65","180","46","18.181818181818183","41.44144144144144","0.15726495726495726","2.4006835666570225e-13","1.2446343951333333e-08","3.4573177642592594e-10","4","3","2","0.625","1.0"
"ycbF","","putative periplasmic pilin chaperone","41","66","179","45","18.636363636363637","40.54054054054054","0.15617064499746064","2.512341001076125e-13","1.3025231920079171e-08","3.520332951372749e-10","6","4","3","0.6875000000000002","1.0"
"argI_1","","ornithine carbamoyltransferase chain I","46","69","174","42","20.909090909090907","37.83783783783784","0.16091954022988506","3.062973488796834e-13","1.5879986052667188e-08","3.7046958129562453e-10","10","5","6","0.7539062500000002","1.0"
"arcA","","Arginine deiminase","46","69","174","42","20.909090909090907","37.83783783783784","0.16091954022988506","3.062973488796834e-13","1.5879986052667188e-08","3.7046958129562453e-10","10","5","6","0.7539062500000002","1.0"
"argI","","ornithine carbamoyltransferase chain I","174","42","46","69","79.0909090909091","62.16216216216216","6.214285714285714","3.062973488796834e-13","1.5879986052667188e-08","3.7046958129562453e-10","10","6","5","0.7539062500000002","1.0"
"tabA","","toxin-antitoxin biofilm protein","174","42","46","69","79.0909090909091","62.16216216216216","6.214285714285714","3.062973488796834e-13","1.5879986052667188e-08","3.7046958129562453e-10","10","6","5","0.7539062500000002","1.0"
"ybcF_2","","putative carbamate kinase","46","69","174","42","20.909090909090907","37.83783783783784","0.16091954022988506","3.062973488796834e-13","1.5879986052667188e-08","3.7046958129562453e-10","10","5","6","0.7539062500000002","1.0"
"group_52473","gltA","citrate synthase monomer","110","12","110","99","50.0","89.1891891891892","8.25","3.072657343179064e-13","1.5930191995711855e-08","3.7046958129562453e-10","9","7","4","0.17968750000000003","1.0"
