,Cefazolin
blood-08-0081,1
blood-08-0094,1
blood-08-0215,0
blood-08-0379,0
blood-08-0654,0
blood-08-1203,0
blood-08-1420,1
blood-08-1447,0
blood-08-1463,0
blood-08-1493,0
blood-08-1563rep1,0
blood-08-1636,0
blood-09-0023rep1,0
blood-09-0409,0
blood-09-0428,1
blood-09-0558,0
blood-09-0718,0
blood-09-0751,0
blood-09-0767,0
blood-09-0768,0
blood-09-1290,1
blood-09-1342,0
blood-09-1545,0
blood-10-0040,0
blood-10-0183,0
blood-10-0223,1
blood-10-0682,1
blood-10-0684,0
blood-10-0687,0
blood-10-0913,0
blood-10-1009,0
blood-10-1126,0
blood-10-1215,0
blood-10-1310,0
blood-10-1362,0
blood-10-1386,0
blood-10-1607,1
blood-10-1610,1
blood-11-0067,1
blood-2011-0141,1
blood-2011-0238,1
blood-90544,1
blood-B-11-184,1
s1,1
s10,1
s100,1
s101,1
s103,1
s105,1
s106,1
s107,1
s108,1
s109,1
s110,1
s111,1
s112,0
s114,1
s115,1
s116,1
s117,1
s118,1
s119,1
s120,1
s128,1
s129,1
s130,1
s131,1
s132,1
s133,1
s135,1
s138,1
s141,1
s142,1
s143,1
s144,1
s147,0
s151,1
s152,1
s153,1
s156,1
s157,1
s160,1
s166,1
s167,1
s168,1
s170,1
s172,1
s174,1
s175,1
s177,1
s178,1
s184,1
s314,0
s335,0
s340,1
s375,0
s377,1
s379,1
s388,1
s4,1
s405,0
s414,1
s415,1
s426,1
s427,1
s445,1
s446,1
s447,1
s451,1
s452,1
s463,1
s471,1
s48,0
s480,1
s484,1
s55,1
s65,1
s66,1
s663,1
s667,1
s668,1
s673,1
s679,1
s680,1
s681,1
s702,1
s703,1
s709,1
s723,1
s725,1
s729,1
s73,1
s750,1
s751,1
s752,1
s8,1
s80,1
s87,1
s88,1
s89,1
s90,1
s91,1
s92,1
s94,1
s95,1
s96,1
s97,1
s98,1
upec-100,1
upec-101,0
upec-103,0
upec-104,0
upec-105,0
upec-106,0
upec-108,0
upec-109,0
upec-110,0
upec-111,0
upec-112,0
upec-113,1
upec-114,0
upec-115,0
upec-116,0
upec-117,0
upec-119,0
upec-120,0
upec-121,1
upec-123,0
upec-124,1
upec-125,0
upec-126,0
upec-127,1
upec-128,0
upec-129,0
upec-130,1
upec-131,1
upec-132,0
upec-133,0
upec-134,0
upec-135,0
upec-136,0
upec-137,0
upec-138,1
upec-139,0
upec-14,1
upec-140,1
upec-141,1
upec-142,1
upec-143,1
upec-144,0
upec-145,0
upec-146,1
upec-147,0
upec-148,0
upec-15,1
upec-151,0
upec-153,0
upec-154,0
upec-155,1
upec-156,1
upec-157,1
upec-158,0
upec-159,0
upec-161,0
upec-162,0
upec-166,0
upec-169,0
upec-170,1
upec-171,0
upec-172,0
upec-173,0
upec-175,0
upec-176,0
upec-177,0
upec-179,0
upec-180,1
upec-181,1
upec-182,0
upec-184,0
upec-185,0
upec-186,0
upec-187,0
upec-188,0
upec-193,1
upec-195,0
upec-196,0
upec-197,0
upec-200,0
upec-201,0
upec-203,0
upec-205,0
upec-207,0
upec-208,0
upec-211,1
upec-212,0
upec-213,0
upec-219,0
upec-220,1
upec-221,0
upec-225,0
upec-226,0
upec-227,1
upec-228,0
upec-229,0
upec-23,0
upec-230,0
upec-232,0
upec-233,0
upec-235,0
upec-236,0
upec-237,1
upec-238,0
upec-239,0
upec-24,0
upec-243,0
upec-244,0
upec-248,1
upec-249,0
upec-250,0
upec-251,1
upec-253,1
upec-254,0
upec-255,0
upec-256,0
upec-257,0
upec-258,0
upec-259,1
upec-260,0
upec-261,0
upec-266,0
upec-269,0
upec-271,0
upec-273,1
upec-274,0
upec-276,0
upec-277,0
upec-281,1
upec-282,0
upec-285,0
upec-286,0
upec-287,0
upec-288,0
upec-289,0
upec-3,1
upec-31,1
upec-33,0
upec-38,0
upec-39,1
upec-4,0
upec-40,1
upec-45,0
upec-48,0
upec-50,0
upec-51,0
upec-54,1
upec-56,0
upec-58,0
upec-59,0
upec-61,0
upec-62,0
upec-65,0
upec-66,1
upec-69,0
upec-70,0
upec-73,0
upec-74,1
upec-75,0
upec-76,0
upec-77,0
upec-78,0
upec-79,0
upec-8,0
upec-80,0
upec-81,0
upec-82,1
upec-83,0
upec-84,0
upec-85,1
upec-87,0
upec-88,1
upec-89,0
upec-9,0
upec-90,1
upec-91,0
upec-93,0
upec-94,0
upec-95,0
upec-97,1
upec-98,0
upec-99,0
