,Moxifloxacin
upec-100,1
upec-101,0
upec-103,0
upec-104,0
upec-105,0
upec-106,0
upec-108,0
upec-109,0
upec-110,0
upec-111,0
upec-112,1
upec-113,1
upec-114,0
upec-115,0
upec-116,0
upec-117,0
upec-119,0
upec-120,0
upec-121,0
upec-123,0
upec-124,0
upec-125,0
upec-126,0
upec-127,1
upec-128,0
upec-129,0
upec-130,1
upec-131,0
upec-132,0
upec-133,0
upec-134,0
upec-135,0
upec-136,0
upec-137,0
upec-138,0
upec-139,0
upec-14,0
upec-140,1
upec-141,1
upec-142,1
upec-143,1
upec-144,1
upec-145,0
upec-146,1
upec-147,1
upec-148,0
upec-15,1
upec-151,0
upec-153,0
upec-154,0
upec-155,1
upec-156,1
upec-157,1
upec-158,0
upec-159,0
upec-161,0
upec-162,0
upec-166,0
upec-169,0
upec-170,0
upec-171,0
upec-172,0
upec-173,0
upec-175,0
upec-176,0
upec-177,0
upec-179,0
upec-180,0
upec-181,1
upec-182,0
upec-184,0
upec-185,0
upec-186,0
upec-187,0
upec-188,0
upec-193,0
upec-195,0
upec-196,0
upec-197,0
upec-200,0
upec-201,0
upec-203,0
upec-205,1
upec-207,0
upec-208,0
upec-209,0
upec-211,1
upec-212,1
upec-213,1
upec-219,0
upec-220,1
upec-221,0
upec-225,0
upec-226,0
upec-227,1
upec-228,0
upec-229,0
upec-23,0
upec-230,0
upec-232,0
upec-233,0
upec-235,0
upec-236,0
upec-237,0
upec-238,1
upec-239,0
upec-24,0
upec-243,0
upec-244,0
upec-248,1
upec-249,0
upec-250,0
upec-251,0
upec-253,0
upec-254,1
upec-255,0
upec-256,0
upec-257,1
upec-258,0
upec-259,1
upec-260,0
upec-261,0
upec-266,0
upec-269,0
upec-271,0
upec-273,1
upec-274,0
upec-276,0
upec-277,0
upec-281,1
upec-282,0
upec-285,0
upec-286,0
upec-287,0
upec-288,0
upec-289,0
upec-3,1
upec-31,0
upec-33,0
upec-38,0
upec-39,0
upec-4,1
upec-40,0
upec-45,0
upec-48,0
upec-50,1
upec-51,0
upec-54,0
upec-56,0
upec-58,0
upec-59,0
upec-61,0
upec-62,0
upec-65,0
upec-66,1
upec-69,1
upec-70,0
upec-73,0
upec-74,1
upec-75,0
upec-76,0
upec-77,0
upec-78,0
upec-79,0
upec-8,0
upec-80,0
upec-81,0
upec-82,1
upec-83,0
upec-84,0
upec-85,0
upec-87,0
upec-88,0
upec-89,0
upec-9,0
upec-90,1
upec-91,0
upec-93,0
upec-94,0
upec-95,0
upec-97,0
upec-98,0
upec-99,0
