,Aztreonam
blood-08-0081,0
blood-08-0094,1
blood-08-0215,0
blood-08-0379,0
blood-08-0654,0
blood-08-1203,0
blood-08-1420,1
blood-08-1447,0
blood-08-1463,0
blood-08-1493,0
blood-08-1563rep1,0
blood-08-1636,0
blood-09-0023rep1,0
blood-09-0409,0
blood-09-0428,1
blood-09-0558,0
blood-09-0718,0
blood-09-0751,0
blood-09-0767,0
blood-09-0768,0
blood-09-1290,1
blood-09-1342,0
blood-09-1545,0
blood-10-0040,0
blood-10-0183,0
blood-10-0223,1
blood-10-0682,0
blood-10-0684,0
blood-10-0687,0
blood-10-0913,0
blood-10-1009,0
blood-10-1126,0
blood-10-1215,0
blood-10-1310,0
blood-10-1362,0
blood-10-1386,0
blood-10-1607,1
blood-10-1610,1
blood-11-0067,0
blood-2011-0141,0
blood-2011-0238,1
blood-90544,1
blood-B-11-184,0
upec-100,1
upec-101,0
upec-103,0
upec-104,0
upec-105,0
upec-106,0
upec-108,0
upec-109,0
upec-110,0
upec-111,0
upec-112,0
upec-113,0
upec-114,0
upec-115,0
upec-116,0
upec-117,0
upec-119,0
upec-120,0
upec-121,0
upec-123,0
upec-124,0
upec-125,0
upec-126,0
upec-127,0
upec-128,0
upec-129,0
upec-130,0
upec-131,0
upec-132,0
upec-133,0
upec-134,0
upec-135,0
upec-136,0
upec-137,0
upec-138,0
upec-139,0
upec-14,0
upec-140,0
upec-141,0
upec-142,0
upec-143,0
upec-144,0
upec-145,0
upec-146,1
upec-147,0
upec-148,0
upec-15,0
upec-151,0
upec-153,0
upec-154,0
upec-155,0
upec-156,0
upec-157,0
upec-158,0
upec-159,0
upec-161,0
upec-162,0
upec-166,0
upec-169,0
upec-170,0
upec-171,0
upec-172,0
upec-173,0
upec-175,0
upec-176,0
upec-177,0
upec-179,0
upec-180,0
upec-181,0
upec-182,0
upec-184,0
upec-185,0
upec-186,0
upec-187,0
upec-188,0
upec-193,0
upec-195,0
upec-196,0
upec-197,0
upec-200,0
upec-201,0
upec-203,0
upec-205,0
upec-207,0
upec-208,0
upec-209,0
upec-211,1
upec-212,0
upec-213,0
upec-219,0
upec-220,0
upec-221,0
upec-225,0
upec-226,0
upec-227,0
upec-228,0
upec-229,0
upec-23,0
upec-230,0
upec-232,0
upec-233,0
upec-235,0
upec-236,0
upec-237,0
upec-238,0
upec-239,0
upec-24,0
upec-243,0
upec-244,0
upec-248,0
upec-249,0
upec-250,0
upec-251,0
upec-253,0
upec-254,0
upec-255,0
upec-256,0
upec-257,0
upec-258,0
upec-259,0
upec-260,0
upec-261,0
upec-266,0
upec-269,0
upec-271,0
upec-273,1
upec-274,0
upec-276,0
upec-277,0
upec-281,0
upec-282,0
upec-285,0
upec-286,0
upec-287,0
upec-288,0
upec-289,0
upec-3,0
upec-31,0
upec-33,0
upec-38,0
upec-39,0
upec-4,0
upec-40,0
upec-45,0
upec-48,0
upec-50,0
upec-51,0
upec-54,0
upec-56,0
upec-58,0
upec-59,0
upec-61,0
upec-62,0
upec-65,0
upec-66,0
upec-69,0
upec-70,0
upec-73,0
upec-74,0
upec-75,0
upec-76,0
upec-77,0
upec-78,0
upec-79,0
upec-8,0
upec-80,0
upec-81,0
upec-82,0
upec-83,0
upec-84,0
upec-85,0
upec-87,0
upec-88,0
upec-89,0
upec-9,0
upec-90,0
upec-91,0
upec-93,0
upec-94,0
upec-95,0
upec-97,0
upec-98,0
upec-99,0
