,Tobramycin
blood-09-0558,1
blood-10-1009,1
blood-10-1362,1
s1,0
s10,1
s100,0
s101,1
s103,1
s105,0
s106,0
s107,1
s108,0
s109,1
s110,0
s111,1
s112,1
s114,0
s115,1
s116,1
s117,1
s118,1
s119,0
s120,0
s128,1
s129,0
s130,0
s131,0
s132,0
s133,0
s135,1
s138,1
s141,0
s142,0
s143,1
s144,1
s147,1
s151,0
s152,0
s153,1
s156,0
s157,0
s160,0
s166,0
s167,0
s168,1
s170,1
s172,1
s174,1
s175,1
s177,0
s178,0
s184,0
s314,0
s335,0
s340,1
s375,1
s377,1
s379,0
s388,1
s4,0
s405,0
s414,1
s415,1
s426,0
s427,0
s445,0
s446,1
s447,1
s451,0
s452,1
s463,1
s471,0
s48,1
s480,1
s484,0
s55,1
s65,1
s66,0
s663,1
s667,1
s668,1
s673,1
s679,0
s680,1
s681,0
s702,1
s703,0
s709,1
s723,1
s725,0
s729,0
s73,0
s750,1
s751,1
s752,1
s8,1
s80,1
s87,0
s88,0
s89,1
s90,1
s91,1
s92,0
s94,0
s95,1
s96,0
s97,1
s98,1
upec-100,1
upec-142,1
upec-143,1
upec-146,1
upec-155,1
upec-220,1
upec-227,1
upec-248,1
upec-259,1
upec-260,1
upec-261,1
upec-271,1
upec-273,1
upec-281,1
upec-54,1
upec-66,1
upec-69,1
upec-88,1
