"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"tufB","","elongation factor Tu","53","158","103","16","33.97435897435898","9.195402298850574","0.05210765638441686","1.7923226454488049e-28","9.288353645509341e-24","9.288353645509341e-24","35","11","27","0.0018782254774123435","0.04095959151163695"
"group_13349","tufB","elongation factor Tu","88","7","68","167","56.41025641025641","95.97701149425288","30.873949579831933","4.108305728780749e-28","2.1290472778260475e-23","1.0645236389130237e-23","24","23","4","2.9802322387695312e-06","0.0015438795089721682"
"group_26135","","hypothetical protein","76","4","80","170","48.717948717948715","97.70114942528735","40.375","2.61009990198271e-25","1.3526320722044999e-20","4.508773574015e-21","26","24","3","1.049041748046875e-05","8.797645568847655e-05"
"bla_1","","Beta-lactamase CTX-M-1","74","4","82","170","47.43589743589743","97.70114942528735","38.353658536585364","2.0678275081774594e-24","1.0716102495628048e-19","2.679025623907012e-20","22","20","4","0.00012111663818359382","0.004343509674072266"
"group_21812","","hypothetical protein","71","4","85","170","45.51282051282051","97.70114942528735","35.5","4.445579393230071e-23","2.3038326089536198e-18","4.607665217907239e-19","22","19","4","0.000855445861816406","0.004343509674072266"
"group_13351","tufA","elongation factor Tu","74","7","82","167","47.43589743589743","95.97701149425288","21.529616724738677","1.2164947338901798e-21","6.304240659439078e-17","1.0507067765731797e-17","17","16","4","0.000274658203125","0.049041748046874986"
"chpS","","ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system","124","52","32","122","79.48717948717949","70.11494252873564","9.091346153846153","5.692786430482822e-20","2.9501727118691127e-15","3.687715889836391e-16","18","13","9","0.09625244140624999","1.0"
"chpB_1","","ChpB toxin of the ChpB-ChpS toxin-antitoxin system","124","52","32","122","79.48717948717949","70.11494252873564","9.091346153846153","5.692786430482822e-20","2.9501727118691127e-15","3.687715889836391e-16","18","13","9","0.09625244140624999","1.0"
"group_15459","higB","Endoribonuclease HigB","26","114","130","60","16.666666666666664","34.48275862068966","0.10526315789473684","6.484512827617827e-20","3.3604690826563867e-15","3.733854536284874e-16","8","4","6","0.2890624999999999","1.0"
"group_18227","","hypothetical protein","69","7","87","167","44.230769230769226","95.97701149425288","18.92118226600985","1.7094431832376043e-19","8.858847408492236e-15","8.858847408492236e-16","22","19","7","0.000855445861816406","0.13380050659179688"
"group_20368","","hypothetical protein","67","7","89","167","42.94871794871795","95.97701149425288","17.959871589085072","1.1664477848439706e-18","6.044882355396909e-14","5.4953475958153714e-15","21","19","4","0.00022125244140625","0.0071973800659179705"
"ytfT","","galactofuranose / galactopyranose ABC transporter - putative membrane subunit","122","53","34","121","78.2051282051282","69.54022988505747","8.192008879023307","1.5201747608838677e-18","7.878001663328468e-14","6.565001386107056e-15","20","12","11","0.5034446716308595","0.8238029479980463"
"group_185","yfjQ_1","CP4-57 prophage; predicted protein","65","6","91","168","41.66666666666667","96.55172413793103","20.0","1.7449049878838508e-18","9.04262111871048e-14","6.9558623990080616e-15","22","18","5","0.004343509674072266","0.016900539398193356"
"gadB_1","","glutamate decarboxylase B subunit","65","151","91","23","41.66666666666667","13.218390804597702","0.10879848628192999","2.95032560685858e-18","1.528947239242322e-13","1.0921051708873728e-14","37","17","26","0.020073851919732995","0.7428293587290689"
"group_10992","ytfT","galactofuranose / galactopyranose ABC transporter - putative membrane subunit","35","121","121","53","22.435897435897438","30.45977011494253","0.1266989959702206","4.563853576252573e-18","2.3651258388213707e-13","1.4043957703385084e-14","21","12","12","0.6636238098144525","0.6636238098144525"
"yjgL_1","","putative protein","103","34","53","140","66.02564102564102","80.45977011494253","8.002219755826859","4.67140044554379e-18","2.4208598528941584e-13","1.4043957703385084e-14","19","10","11","0.6476058959960938","1.0"
"bdcA","","c-di-GMP binding protein involved in biofilm dispersal","138","77","18","97","88.46153846153845","55.74712643678161","9.658008658008658","4.877973846765558e-18","2.527912386609315e-13","1.4043957703385084e-14","11","7","5","0.548828125","0.9999999999999997"
"bdcR","","putative transcriptional regulator","138","77","18","97","88.46153846153845","55.74712643678161","9.658008658008658","4.877973846765558e-18","2.527912386609315e-13","1.4043957703385084e-14","11","7","5","0.548828125","0.9999999999999997"
"yjgH","","putative mRNA endoribonuclease","136","74","20","100","87.17948717948718","57.47126436781609","9.18918918918919","8.742635704765165e-18","4.5306961012804514e-13","2.384576895410764e-14","15","10","7","0.30175781250000017","0.9999999999999997"
"argI","","ornithine carbamoyltransferase chain I","138","78","18","96","88.46153846153845","55.172413793103445","9.435897435897436","1.1660875738984217e-17","6.043015634213791e-13","2.5179231809224128e-14","10","6","5","0.7539062500000002","1.0"
"tabA","","toxin-antitoxin biofilm protein","138","78","18","96","88.46153846153845","55.172413793103445","9.435897435897436","1.1660875738984217e-17","6.043015634213791e-13","2.5179231809224128e-14","10","6","5","0.7539062500000002","1.0"
"ybcF_2","","putative carbamate kinase","18","96","138","78","11.538461538461538","44.827586206896555","0.10597826086956522","1.1660875738984217e-17","6.043015634213791e-13","2.5179231809224128e-14","10","5","6","0.7539062500000002","1.0"
"argI_1","","ornithine carbamoyltransferase chain I","18","96","138","78","11.538461538461538","44.827586206896555","0.10597826086956522","1.1660875738984217e-17","6.043015634213791e-13","2.5179231809224128e-14","10","5","6","0.7539062500000002","1.0"
