"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"tufB","","elongation factor Tu","1","175","91","25","1.0869565217391304","12.5","0.0015698587127158557","5.458861040023075e-51","2.7107612152546587e-46","2.7107612152546587e-46","21","1","21","9.5367431640625e-07","2.09808349609375e-05"
"group_13349","tufB","elongation factor Tu","81","14","11","186","88.04347826086956","93.0","97.83116883116882","1.292136969987913e-44","6.416493765565978e-40","3.208246882782989e-40","21","21","1","9.5367431640625e-07","2.09808349609375e-05"
"group_9420","","hypothetical protein","1","150","91","50","1.0869565217391304","25.0","0.003663003663003663","1.3389326678404902e-37","6.648871841962306e-33","2.0599528692151527e-33","20","1","20","1.9073486328125e-06","4.005432128906249e-05"
"bla_1","","Beta-lactamase CTX-M-1","67","6","25","194","72.82608695652173","97.0","86.65333333333334","1.6593119893794778e-37","8.239811476860611e-33","2.0599528692151527e-33","23","20","4","0.0004882812500000001","0.0025994777679443364"
"group_13351","tufA","elongation factor Tu","70","11","22","189","76.08695652173914","94.5","54.66942148760331","9.2129537944739e-36","4.574968595259849e-31","9.149937190519698e-32","16","16","2","3.0517578125e-05","0.004180908203124999"
"group_21812","","hypothetical protein","64","6","28","194","69.56521739130434","97.0","73.9047619047619","7.03183786637642e-35","3.491870047685203e-30","5.819783412808672e-31","22","18","5","0.004343509674072266","0.016900539398193356"
"tusC","","sulfur transfer protein complex, TusC subunit","1","142","91","58","1.0869565217391304","28.999999999999996","0.0044884692772016715","4.585758734576653e-34","2.2771960724160743e-29","2.846495090520093e-30","22","1","21","1.0967254638671873e-05","1.0967254638671873e-05"
"group_9415","","hypothetical protein","1","142","91","58","1.0869565217391304","28.999999999999996","0.0044884692772016715","4.585758734576653e-34","2.2771960724160743e-29","2.846495090520093e-30","22","1","21","1.0967254638671873e-05","1.0967254638671873e-05"
"group_13502","tusC","sulfur transfer protein complex, TusC subunit","91","59","1","141","98.91304347826086","70.5","217.47457627118644","8.80400790424027e-34","4.371894245087633e-29","4.8576602723195924e-30","22","21","1","1.0967254638671873e-05","1.0967254638671873e-05"
"group_26135","","hypothetical protein","65","9","27","191","70.65217391304348","95.5","51.09053497942387","5.077860861300667e-33","2.5215641465046853e-28","2.5215641465046854e-29","22","20","3","0.00012111663818359382","0.000855445861816406"
"tufA","","elongation factor Tu","1","139","91","61","1.0869565217391304","30.5","0.004822515613882521","5.728649709375799e-33","2.844732872681834e-28","2.586120793347122e-29","16","1","16","3.0517578125e-05","0.000518798828125"
"yeeS_2","","CP4-44 prophage; predicted DNA repair protein","86","46","6","154","93.47826086956522","77.0","47.98550724637681","6.398735357145061e-32","3.1774840036510942e-27","2.6479033363759117e-28","22","20","4","0.00012111663818359382","0.004343509674072266"
"group_403","cbeA_2","CP4-44 prophage; antitoxin of the CbtA-CbeA toxin-antitoxin system","65","12","27","188","70.65217391304348","94.0","37.71604938271605","1.1411873634811755e-30","5.666908209574821e-26","4.050909937028257e-27","17","12","6","0.14346313476562497","0.33230590820312506"
"group_52753","rpsG","30S ribosomal subunit protein S7","1","133","91","67","1.0869565217391304","33.5","0.005535817565892754","1.2236426971570313e-30","6.076364905542386e-26","4.050909937028257e-27","22","1","21","1.0967254638671873e-05","1.0967254638671873e-05"
"group_53725","fusA","elongation factor G","1","133","91","67","1.0869565217391304","33.5","0.005535817565892754","1.2236426971570313e-30","6.076364905542386e-26","4.050909937028257e-27","22","1","21","1.0967254638671873e-05","1.0967254638671873e-05"
"group_13501","tusB","sulfur transfer protein complex, TusB subunit","1","132","91","68","1.0869565217391304","34.0","0.005661005661005661","2.34425303121239e-30","1.1641091702394485e-25","7.275682313996553e-27","22","1","21","1.0967254638671873e-05","1.0967254638671873e-05"
"tusB","","sulfur transfer protein complex, TusB subunit","91","69","1","131","98.91304347826086","65.5","172.768115942029","6.582325401639567e-30","3.268651147946176e-25","1.815917304414542e-26","22","21","1","1.0967254638671873e-05","1.0967254638671873e-05"
"group_51743","rpsL","30S ribosomal subunit protein S12","1","131","91","69","1.0869565217391304","34.5","0.005788105024746246","6.582325401639567e-30","3.268651147946176e-25","1.815917304414542e-26","21","1","20","2.09808349609375e-05","2.09808349609375e-05"
"rpsG","","30S ribosomal subunit protein S7","90","68","2","132","97.82608695652173","66.0","87.3529411764706","9.649751589001955e-29","4.791873644066591e-24","2.522038760035048e-25","22","21","2","1.0967254638671873e-05","0.00012111663818359382"
"group_10992","ytfT","galactofuranose / galactopyranose ABC transporter - putative membrane subunit","3","136","89","64","3.260869565217391","32.0","0.015862524785194978","1.109524034500549e-28","5.5096744505228266e-24","2.754837225261413e-25","10","2","10","0.001953125","0.10937500000000003"
"ytfT","","galactofuranose / galactopyranose ABC transporter - putative membrane subunit","89","65","3","135","96.73913043478261","67.5","61.61538461538461","2.0078754427188456e-28","9.970707873453243e-24","4.74795613021583e-25","10","10","2","0.001953125","0.10937500000000003"
"rpsL","","30S ribosomal subunit protein S12","90","69","2","131","97.82608695652173","65.5","85.43478260869566","3.203202389349862e-28","1.5906462425033544e-23","7.230210193197065e-25","22","21","2","1.0967254638671873e-05","0.00012111663818359382"
"chpS","","ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system","89","66","3","134","96.73913043478261","67.0","60.23232323232323","5.962075176971476e-28","2.9606472913804956e-23","1.2336030380752064e-24","10","10","2","0.001953125","0.10937500000000003"
"chpB_1","","ChpB toxin of the ChpB-ChpS toxin-antitoxin system","89","66","3","134","96.73913043478261","67.0","60.23232323232323","5.962075176971476e-28","2.9606472913804956e-23","1.2336030380752064e-24","10","10","2","0.001953125","0.10937500000000003"
"fusA","","elongation factor G","89","68","3","132","96.73913043478261","66.0","57.588235294117645","3.0270652501148977e-27","1.503180061902056e-22","6.0127202476082236e-24","22","21","2","1.0967254638671873e-05","0.00012111663818359382"
"group_1507","yeeT_1","CP4-44 prophage; predicted protein","63","15","29","185","68.47826086956522","92.5","26.79310344827586","5.135785152472083e-27","2.550328191014587e-22","9.808954580825334e-24","21","18","8","0.001489639282226563","0.38331031799316395"
"group_20368","","hypothetical protein","61","13","31","187","66.30434782608695","93.5","28.305210918114145","8.340390962958831e-27","4.141671344386096e-22","1.5339523497726282e-23","22","17","8","0.016900539398193356","0.2862787246704102"
"group_185","yfjQ_1","CP4-57 prophage; predicted protein","59","11","33","189","64.13043478260869","94.5","30.71900826446281","1.0833106344251751e-26","5.379503948428535e-22","1.921251410153048e-23","18","14","8","0.0308837890625","0.8145294189453123"
"ldrD_1","","LdrD peptide of the LdrD-RdlD toxin-antitoxin system","78","41","14","159","84.78260869565217","79.5","21.606271777003485","4.338371054573e-26","2.1543482982798604e-21","7.428787235447794e-23","19","16","5","0.004425048828125002","0.06356811523437494"
"group_4868","","hypothetical protein","58","12","34","188","63.04347826086957","94.0","26.725490196078432","2.975258374662631e-25","1.4774538036899693e-20","4.765980011903127e-22","20","17","7","0.002576828002929687","0.2631759643554687"
"group_10638","","hypothetical protein","58","12","34","188","63.04347826086957","94.0","26.725490196078432","2.975258374662631e-25","1.4774538036899693e-20","4.765980011903127e-22","22","17","7","0.016900539398193356","0.13380050659179688"
"yjgH","","putative mRNA endoribonuclease","92","90","0","110","100.0","55.00000000000001","inf","7.281136805291933e-25","3.6156669147718683e-20","1.1298959108662089e-21","9","9","0","0.00390625","0.00390625"
"gadB","","glutamate decarboxylase B subunit","60","15","32","185","65.21739130434783","92.5","23.125","9.13210629198979e-25","4.53482134247629e-20","1.3741882855988758e-21","12","12","1","0.00048828125","0.006347656250000001"
"cbtA_1","","CP4-44 prophage; toxin of the CbtA-CbeA toxin-antitoxin system","82","54","10","146","89.13043478260869","73.0","22.17037037037037","1.2131073316471997e-24","6.024048387493665e-20","1.7717789374981367e-21","20","16","6","0.011817932128906248","0.11531829833984371"
"gadB_1","","glutamate decarboxylase B subunit","19","164","73","36","20.652173913043477","18.0","0.057133311059137985","6.708754223688965e-24","3.331433172399466e-19","9.518380492569903e-21","18","3","18","7.62939453125e-06","0.007537841796875001"
"cbeA_1","","CP4-44 prophage; antitoxin of the CbtA-CbeA toxin-antitoxin system","79","49","13","151","85.86956521739131","75.5","18.72684458398744","9.290075426001516e-24","4.613265655043832e-19","1.2814626819566201e-20","21","15","7","0.07835388183593749","0.18924713134765628"
"bdcA","","c-di-GMP binding protein involved in biofilm dispersal","92","94","0","106","100.0","53.0","inf","1.5348893874410187e-23","7.62195372015461e-19","2.005777294777529e-20","6","6","0","0.03125","0.03125"
"bdcR","","putative transcriptional regulator","92","94","0","106","100.0","53.0","inf","1.5348893874410187e-23","7.62195372015461e-19","2.005777294777529e-20","6","6","0","0.03125","0.03125"
"sra","","30S ribosomal subunit protein S22","92","95","0","105","100.0","52.5","inf","2.2971876713389383e-23","1.14073745383349e-18","2.592585122348841e-20","4","4","0","0.125","0.125"
"ybcF_2","","putative carbamate kinase","0","105","92","95","0.0","47.5","0.0","2.2971876713389383e-23","1.14073745383349e-18","2.592585122348841e-20","5","0","5","0.0625","0.0625"
