"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"tufB","","elongation factor Tu","11","201","95","24","10.377358490566039","10.666666666666668","0.01382560879811469","1.0186964585546846e-46","5.281431789376762e-42","5.281431789376762e-42","25","5","24","1.5497207641601558e-06","0.0040773153305053685"
"group_13349","tufB","elongation factor Tu","83","12","23","213","78.30188679245283","94.66666666666667","64.05434782608695","4.134831640844078e-43","2.1437034641956122e-38","1.0718517320978061e-38","23","23","3","2.384185791015625e-07","0.0004882812500000001"
"bla_1","","Beta-lactamase CTX-M-1","74","4","32","221","69.81132075471697","98.22222222222223","127.765625","8.647213315614506e-43","4.4831477434803405e-38","1.4943825811601135e-38","24","22","3","3.5881996154785156e-05","0.00027716159820556657"
"group_21812","","hypothetical protein","71","4","35","221","66.98113207547169","98.22222222222223","112.07857142857142","3.114469864407215e-40","1.6146969012019206e-35","4.0367422530048016e-36","24","21","4","0.00027716159820556657","0.0015438795089721682"
"group_26135","","hypothetical protein","72","8","34","217","67.9245283018868","96.44444444444444","57.44117647058823","5.756538533154721e-37","2.984477402514065e-32","5.9689548050281304e-33","24","22","4","3.5881996154785156e-05","0.0015438795089721682"
"group_13351","tufA","elongation factor Tu","71","10","35","215","66.98113207547169","95.55555555555556","43.614285714285714","2.001224873180393e-34","1.0375350355003749e-29","1.7292250591672913e-30","17","17","2","1.52587890625e-05","0.002349853515625"
"group_9420","","hypothetical protein","13","169","93","56","12.264150943396226","24.88888888888889","0.04631927212572374","2.1642002036075093e-28","1.1220295955603132e-23","1.602899422229019e-24","23","7","20","0.0004882812500000001","0.09313964843749999"
"group_9415","","hypothetical protein","13","168","93","57","12.264150943396226","25.333333333333336","0.04742703533026114","4.697493721529315e-28","2.4354156199268733e-23","2.7060173554743035e-24","26","8","21","0.0024939179420471187","0.0755186975002289"
"tusC","","sulfur transfer protein complex, TusC subunit","13","168","93","57","12.264150943396226","25.333333333333336","0.04742703533026114","4.697493721529315e-28","2.4354156199268733e-23","2.7060173554743035e-24","26","8","21","0.0024939179420471187","0.0755186975002289"
"group_20368","","hypothetical protein","63","11","43","214","59.43396226415094","95.11111111111111","28.503171247357294","1.1303197969128814e-27","5.860142987094833e-23","5.8601429870948335e-24","23","19","6","0.0025994777679443364","0.03468966484069824"
