"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"tufB","","elongation factor Tu","10","100","96","21","9.433962264150944","17.355371900826448","0.021875","8.902319370732316e-31","3.949870081600221e-26","3.949870081600221e-26","23","3","23","2.384185791015625e-07","0.0004882812500000001"
"group_13349","tufB","elongation factor Tu","85","10","21","111","80.18867924528303","91.73553719008265","44.92857142857143","2.0447030844075894e-30","9.072143115208033e-26","4.5360715576040164e-26","22","22","2","4.76837158203125e-07","0.00012111663818359382"
"bla_1","","Beta-lactamase CTX-M-1","72","5","34","116","67.9245283018868","95.86776859504133","49.129411764705885","2.1420793873834165e-26","9.504192033881482e-22","3.168064011293827e-22","23","20","3","0.0004882812500000001","0.0004882812500000001"
"group_26135","","hypothetical protein","72","6","34","115","67.9245283018868","95.0413223140496","40.588235294117645","3.0151141744770538e-25","1.337776008073724e-20","3.34444002018431e-21","22","20","2","0.00012111663818359382","0.00012111663818359382"
"group_21812","","hypothetical protein","69","5","37","116","65.09433962264151","95.86776859504133","43.26486486486486","1.1764856060058185e-24","5.219948985287216e-20","1.0439897970574431e-20","23","19","5","0.0025994777679443364","0.0106220245361328"
"group_9420","","hypothetical protein","11","89","95","32","10.377358490566039","26.446280991735538","0.04163217031342401","3.4799778189767123e-23","1.5440313585017776e-18","2.5733855975029625e-19","21","5","20","2.09808349609375e-05","0.026603698730468753"
"group_13502","tusC","sulfur transfer protein complex, TusC subunit","96","37","10","84","90.56603773584906","69.42148760330579","21.794594594594596","1.6477215734191185e-21","7.310775849103287e-17","8.12308427678143e-18","23","20","6","0.0004882812500000001","0.03468966484069824"
"tusC","","sulfur transfer protein complex, TusC subunit","10","84","96","37","9.433962264150944","30.57851239669421","0.045882936507936505","1.6477215734191185e-21","7.310775849103287e-17","8.12308427678143e-18","23","6","20","0.0004882812500000001","0.03468966484069824"
"group_9415","","hypothetical protein","10","84","96","37","9.433962264150944","30.57851239669421","0.045882936507936505","1.6477215734191185e-21","7.310775849103287e-17","8.12308427678143e-18","23","6","20","0.0004882812500000001","0.03468966484069824"
"group_13351","tufA","elongation factor Tu","71","10","35","111","66.98113207547169","91.73553719008265","22.517142857142858","2.213018991445754e-21","9.818943963145666e-17","9.818943963145666e-18","17","16","2","0.000274658203125","0.002349853515625"
"tufA","","elongation factor Tu","7","74","99","47","6.60377358490566","38.84297520661157","0.04490854490854491","2.906034236486157e-19","1.289378330386543e-14","1.172162118533221e-15","17","5","15","0.002349853515625","0.14346313476562497"
"tusB","","sulfur transfer protein complex, TusB subunit","96","43","10","78","90.56603773584906","64.46280991735537","17.413953488372094","1.5710096615354778e-18","6.970412767266762e-14","4.646941844844508e-15","23","20","6","0.0004882812500000001","0.03468966484069824"
"group_52753","rpsG","30S ribosomal subunit protein S7","10","78","96","43","9.433962264150944","35.53719008264463","0.05742521367521367","1.5710096615354778e-18","6.970412767266762e-14","4.646941844844508e-15","23","6","20","0.0004882812500000001","0.03468966484069824"
"group_53725","fusA","elongation factor G","10","78","96","43","9.433962264150944","35.53719008264463","0.05742521367521367","1.5710096615354778e-18","6.970412767266762e-14","4.646941844844508e-15","23","6","20","0.0004882812500000001","0.03468966484069824"
"group_13501","tusB","sulfur transfer protein complex, TusB subunit","10","78","96","43","9.433962264150944","35.53719008264463","0.05742521367521367","1.5710096615354778e-18","6.970412767266762e-14","4.646941844844508e-15","23","6","20","0.0004882812500000001","0.03468966484069824"
"group_51743","rpsL","30S ribosomal subunit protein S12","10","77","96","44","9.433962264150944","36.36363636363637","0.05952380952380952","4.7214543931535765e-18","2.0948620996983104e-13","1.309288812311444e-14","23","6","20","0.0004882812500000001","0.03468966484069824"
"rpsL","","30S ribosomal subunit protein S12","95","43","11","78","89.62264150943396","64.46280991735537","15.665961945031713","8.197626288226662e-18","3.6372048078232874e-13","2.020669337679604e-14","24","20","7","0.0015438795089721682","0.06391465663909912"
"rpsG","","30S ribosomal subunit protein S7","95","43","11","78","89.62264150943396","64.46280991735537","15.665961945031713","8.197626288226662e-18","3.6372048078232874e-13","2.020669337679604e-14","24","20","7","0.0015438795089721682","0.06391465663909912"
"group_20368","","hypothetical protein","64","10","42","111","60.37735849056604","91.73553719008265","16.914285714285715","9.497223236432018e-18","4.2138229777725223e-13","2.217801567248696e-14","22","19","5","0.000855445861816406","0.016900539398193356"
"fusA","","elongation factor G","94","43","12","78","88.67924528301887","64.46280991735537","14.209302325581396","4.031197370249052e-17","1.7886019612058018e-12","8.943009806029009e-14","24","20","7","0.0015438795089721682","0.06391465663909912"
