"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"yokD","","SPBc2 prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD","51","12","10","258","83.60655737704919","95.55555555555556","109.65","4.3284382141288696e-38","2.2440787921151123e-33","2.2440787921151123e-33","33","31","5","1.3085082173347476e-07","6.618769839406011e-05"
"group_26084","","hypothetical protein","25","2","36","268","40.98360655737705","99.25925925925925","93.05555555555556","9.634938379467095e-19","4.9952338028347155e-14","1.6650779342782384e-14","18","17","2","0.00014495849609375","0.0013122558593750002"
"tmrB","","Tunicamycin resistance protein","25","2","36","268","40.98360655737705","99.25925925925925","93.05555555555556","9.634938379467095e-19","4.9952338028347155e-14","1.6650779342782384e-14","18","17","2","0.00014495849609375","0.0013122558593750002"
"insF-1_8","","IS3 element protein InsF","18","2","43","268","29.508196721311474","99.25925925925925","56.093023255813954","8.497835156639261e-13","4.4057026369596246e-08","1.1014256592399061e-08","14","13","2","0.0018310546875000002","0.012939453124999998"
"group_23798","","hypothetical protein","22","10","39","260","36.0655737704918","96.29629629629629","14.666666666666666","3.256649012922403e-11","1.6884096807496199e-06","3.3768193614992396e-07","21","13","10","0.38331031799316395","1.0"
"group_21387","","hypothetical protein","43","69","18","201","70.49180327868852","74.44444444444444","6.958937198067633","9.950753294206948e-11","5.158968045381593e-06","8.598280075635987e-07","33","22","14","0.08014331245794892","0.4868502416647969"
"group_25718","","hypothetical protein","21","10","40","260","34.42622950819672","96.29629629629629","13.65","1.6874700187790189e-10","8.748688312359824e-06","1.1202232573876769e-06","21","13","10","0.38331031799316395","1.0"
"group_12322","","hypothetical protein","42","66","19","204","68.85245901639344","75.55555555555556","6.832535885167464","1.7285728728134662e-10","8.961786059101415e-06","1.1202232573876769e-06","29","18","14","0.26493089646101","0.9999999999999997"
"group_28037","tmrB","Tunicamycin resistance protein","19","7","42","263","31.147540983606557","97.4074074074074","16.996598639455783","2.0336704690500448e-10","1.0543564546789957e-05","1.1715071718655508e-06","12","10","4","0.038574218750000014","0.3876953125000001"
"group_15119","insH-5_3","hypothetical protein","19","9","42","261","31.147540983606557","96.66666666666667","13.119047619047619","1.6145169382929297e-09","8.370463066579694e-05","8.370463066579694e-06","18","10","9","0.8145294189453123","1.0"
"glyS","","glycyl-tRNA synthetase, beta subunit","24","213","37","57","39.34426229508197","21.11111111111111","0.17358203273696232","4.132011338198761e-09","0.00021422412782891477","1.9175650623165527e-05","21","14","9","0.18924713134765628","0.6636238098144525"
"yhdY_1","","hypothetical protein","20","12","41","258","32.78688524590164","95.55555555555556","10.487804878048781","4.808244924315784e-09","0.00024928345810115184","1.9175650623165527e-05","13","6","8","0.5810546875","0.9999999999999999"
"group_27954","","hypothetical protein","20","12","41","258","32.78688524590164","95.55555555555556","10.487804878048781","4.808244924315784e-09","0.00024928345810115184","1.9175650623165527e-05","13","6","8","0.5810546875","0.9999999999999999"
"aroC","","chorismate synthase","57","154","4","116","93.44262295081968","42.96296296296296","10.733766233766234","7.484125810398992e-09","0.00038801450264013573","2.586763350934238e-05","10","8","2","0.10937500000000003","0.10937500000000003"
"group_7577","aroC","chorismate synthase","4","116","57","154","6.557377049180328","57.03703703703704","0.09316394434361766","7.484125810398992e-09","0.00038801450264013573","2.586763350934238e-05","8","1","8","0.0078125","0.0703125"
"group_12555","","hypothetical protein","22","17","39","253","36.0655737704918","93.7037037037037","8.395173453996984","1.0091897948468038e-08","0.0005232144491383254","3.269220118539184e-05","16","9","9","0.8036193847656252","0.8036193847656252"
"group_5221","","hypothetical protein","21","15","40","255","34.42622950819672","94.44444444444444","8.925","1.0719788217796534e-08","0.0005557674201516613","3.269220118539184e-05","17","11","8","0.33230590820312506","0.9999999999999998"
"tetR","","Tetracycline repressor protein class A from transposon 1721","34","49","27","221","55.73770491803278","81.85185185185185","5.679516250944823","1.1601286737601893e-08","0.0006014687109109701","3.3414928383942783e-05","35","22","18","0.17546524899080426","1.0"
"group_836","","hypothetical protein","3","106","58","164","4.918032786885246","60.74074074074074","0.08002602472348731","1.8165377580116857e-08","0.0009417840006411584","4.9567578981113603e-05","15","3","12","0.035156250000000014","0.035156250000000014"
"group_26010","","hypothetical protein","19","12","42","258","31.147540983606557","95.55555555555556","9.726190476190476","2.162246176850091e-08","0.0011210165303879298","5.428035697186218e-05","13","6","8","0.5810546875","0.9999999999999999"
"group_14623","yjjL","galactonate:H+ symporter","5","120","56","150","8.19672131147541","55.55555555555556","0.11160714285714286","2.2398639199101965e-08","0.0011612574492774414","5.428035697186218e-05","6","1","6","0.03125","0.21875000000000003"
"group_2029","insH-5","Rac prophage; IS5 transposase and trans-activator","14","4","47","266","22.950819672131146","98.51851851851852","19.80851063829787","2.3033423731911814e-08","0.001194167853380968","5.428035697186218e-05","8","7","1","0.0703125","0.0703125"
"bglA_1","","6-phospho-beta-glucosidase A","9","144","52","126","14.754098360655737","46.666666666666664","0.15144230769230768","2.5665447760321048e-08","0.0013306251391338448","5.5873314945177216e-05","10","3","8","0.10937500000000003","0.3437499999999999"
"group_16110","glyS","glycyl-tRNA synthetase, beta subunit","36","58","25","212","59.01639344262295","78.51851851851852","5.263448275862069","2.586478076351149e-08","0.0013409595586842532","5.5873314945177216e-05","21","8","15","0.07835388183593749","0.38331031799316395"
"yidP","","putative DNA-binding transcriptional regulator","11","154","50","116","18.0327868852459","42.96296296296296","0.1657142857142857","2.8782895096025237e-08","0.0014922491962534284","5.9689967850137136e-05","8","4","6","0.2890624999999999","1.0"
"group_1653","","hypothetical protein","30","40","31","230","49.18032786885246","85.18518518518519","5.564516129032258","3.7803545265978665e-08","0.001959924804314664","6.833150371555408e-05","25","16","12","0.22952294349670388","0.9999999999999997"
"group_16796","","hypothetical protein","3","103","58","167","4.918032786885246","61.85185185185185","0.08386340810177435","3.868659051088311e-08","0.0020057062850367346","6.833150371555408e-05","3","1","3","0.25","1.0"
"insO-1","","hypothetical protein","44","90","17","180","72.1311475409836","66.66666666666666","5.176470588235294","3.991213422679453e-08","0.0020692445989881625","6.833150371555408e-05","34","24","14","0.024306510109454397","0.39152830513194264"
"group_12676","","hypothetical protein","18","11","43","259","29.508196721311474","95.92592592592592","9.856236786469344","4.3192087277546265e-08","0.002239293764904386","6.833150371555408e-05","11","5","7","0.548828125","0.9999999999999997"
"group_16485","","hypothetical protein","18","11","43","259","29.508196721311474","95.92592592592592","9.856236786469344","4.3192087277546265e-08","0.002239293764904386","6.833150371555408e-05","11","5","7","0.548828125","0.9999999999999997"
"group_8898","","hypothetical protein","18","11","43","259","29.508196721311474","95.92592592592592","9.856236786469344","4.3192087277546265e-08","0.002239293764904386","6.833150371555408e-05","11","5","7","0.548828125","0.9999999999999997"
"group_17970","","hypothetical protein","18","11","43","259","29.508196721311474","95.92592592592592","9.856236786469344","4.3192087277546265e-08","0.002239293764904386","6.833150371555408e-05","14","11","5","0.05737304687500002","0.4239501953124999"
"group_22032","yadM","putative fimbrial-like adhesin protein","3","102","58","168","4.918032786885246","62.22222222222222","0.08519269776876268","4.3493868697334065e-08","0.002254939622613285","6.833150371555408e-05","4","2","3","0.625","1.0"
"insC-1_2","","IS2 element protein InsA","37","64","24","206","60.65573770491803","76.29629629629629","4.962239583333333","6.264174414390857e-08","0.0032476612251409395","9.551944779826293e-05","30","16","18","0.361594608053565","0.8555355519056318"
"chbB_2","","chitobiose / cellobiose PTS permease - ChbB subunit","9","139","52","131","14.754098360655737","48.51851851851852","0.16311566131710017","7.045281861389681e-08","0.00365262638103748","0.000104360753743928","10","3","8","0.10937500000000003","0.3437499999999999"
"prfA_2","","peptide chain release factor RF1","13","160","48","110","21.311475409836063","40.74074074074074","0.18619791666666666","7.257081824926681e-08","0.003762434072133238","0.00010451205755925661","18","7","13","0.09625244140624999","0.48068237304687483"
"group_15807","yfcC_2","putative inner membrane protein; putative S-transferase","14","5","47","265","22.950819672131146","98.14814814814815","15.787234042553191","7.5308278679612e-08","0.0039043577081444843","0.00010552318130120228","12","8","4","0.3876953125000001","0.3876953125000001"
"group_13977","","hypothetical protein","36","60","25","210","59.01639344262295","77.77777777777779","5.04","8.040790059511406e-08","0.004168747606353688","0.00010970388437772863","23","10","15","0.21003961563110343","0.6776394844055175"
"group_25599","","hypothetical protein","18","12","43","258","29.508196721311474","95.55555555555556","9.0","9.352121346534075e-08","0.004848607312110591","0.00011399010149842998","14","11","5","0.05737304687500002","0.4239501953124999"
"group_25600","nemR_2","NemR DNA-binding transcriptional repressor","18","12","43","258","29.508196721311474","95.55555555555556","9.0","9.352121346534075e-08","0.004848607312110591","0.00011399010149842998","14","11","5","0.05737304687500002","0.4239501953124999"
"fabG_4","","3-oxo-acyl-[acyl-carrier-protein] reductase","18","12","43","258","29.508196721311474","95.55555555555556","9.0","9.352121346534075e-08","0.004848607312110591","0.00011399010149842998","14","11","6","0.05737304687500002","0.7905273437500004"
"group_20946","","Thioredoxin-like protein","18","12","43","258","29.508196721311474","95.55555555555556","9.0","9.352121346534075e-08","0.004848607312110591","0.00011399010149842998","14","11","5","0.05737304687500002","0.4239501953124999"
"group_21135","","hypothetical protein","23","23","38","247","37.704918032786885","91.48148148148148","6.5","9.674152697330348e-08","0.005015564465930919","0.00011399010149842998","16","10","7","0.45449829101562506","0.8036193847656252"
"group_25898","","hypothetical protein","23","23","38","247","37.704918032786885","91.48148148148148","6.5","9.674152697330348e-08","0.005015564465930919","0.00011399010149842998","13","8","6","0.5810546875","0.9999999999999999"
"group_3524","","hypothetical protein","43","89","18","181","70.49180327868852","67.03703703703704","4.858302122347066","1.0045896201279235e-07","0.00520829488555322","0.0001157398863456271","21","15","9","0.07835388183593749","0.6636238098144525"
"chbA_2","","chitobiose / cellobiose PTS permease - ChbA subunit","9","138","52","132","14.754098360655737","48.888888888888886","0.16555183946488294","1.3199869834703295e-07","0.0068434725158019235","0.0001487711416478679","10","3","8","0.10937500000000003","0.3437499999999999"
"group_9966","insC-1_2","IS2 element protein InsA","21","19","40","251","34.42622950819672","92.96296296296296","6.935526315789474","1.4548842032316827e-07","0.0075428471516546585","0.00015904279965522214","11","7","5","0.548828125","0.9999999999999997"
"insF-1_7","","IS3 element protein InsF","9","0","52","270","14.754098360655737","100.0","inf","1.4724764940593429e-07","0.007634054383450663","0.00015904279965522214","6","6","0","0.03125","0.03125"
"ygcG","","putative protein","50","122","11","148","81.9672131147541","54.81481481481482","5.514157973174367","1.5878490208742247e-07","0.008232203248722418","0.00016299735042029034","13","10","6","0.09228515625000003","0.9999999999999999"
"group_16375","prfA_2","peptide chain release factor RF1","48","112","13","158","78.68852459016394","58.51851851851851","5.208791208791209","1.5965010646245483e-07","0.00827705976954597","0.00016299735042029034","17","12","7","0.14346313476562497","0.629058837890625"
"ssb_2","","ssDNA-binding protein","23","24","38","246","37.704918032786885","91.11111111111111","6.203947368421052","1.6550247518117232e-07","0.00858047582576788","0.00016299735042029034","18","10","11","0.48068237304687483","0.8145294189453123"
