"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"chpS","","ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system","136","39","19","136","87.74193548387098","77.71428571428571","24.960863697705804","5.431812720986394e-35","2.8159060326865565e-30","1.4079530163432782e-30","19","15","7","0.019210815429687503","0.3592834472656249"
"chpB_1","","ChpB toxin of the ChpB-ChpS toxin-antitoxin system","136","39","19","136","87.74193548387098","77.71428571428571","24.960863697705804","5.431812720986394e-35","2.8159060326865565e-30","1.4079530163432782e-30","19","15","7","0.019210815429687503","0.3592834472656249"
"ytfT","","galactofuranose / galactopyranose ABC transporter - putative membrane subunit","134","40","21","135","86.45161290322581","77.14285714285715","21.535714285714285","6.435561602657857e-33","3.3362594904338597e-28","8.796293822903484e-29","21","14","10","0.18924713134765628","1.0"
"argI","","ornithine carbamoyltransferase chain I","149","66","6","109","96.12903225806451","62.28571428571429","41.01262626262626","1.3574265655220361e-32","7.037035058322787e-28","8.796293822903484e-29","10","7","3","0.3437499999999999","0.3437499999999999"
"tabA","","toxin-antitoxin biofilm protein","149","66","6","109","96.12903225806451","62.28571428571429","41.01262626262626","1.3574265655220361e-32","7.037035058322787e-28","8.796293822903484e-29","10","7","3","0.3437499999999999","0.3437499999999999"
"ybcF_2","","putative carbamate kinase","6","109","149","66","3.870967741935484","37.714285714285715","0.024382735053260267","1.3574265655220361e-32","7.037035058322787e-28","8.796293822903484e-29","10","3","7","0.3437499999999999","0.3437499999999999"
"argI_1","","ornithine carbamoyltransferase chain I","6","109","149","66","3.870967741935484","37.714285714285715","0.024382735053260267","1.3574265655220361e-32","7.037035058322787e-28","8.796293822903484e-29","10","3","7","0.3437499999999999","0.3437499999999999"
"arcA","","Arginine deiminase","6","109","149","66","3.870967741935484","37.714285714285715","0.024382735053260267","1.3574265655220361e-32","7.037035058322787e-28","8.796293822903484e-29","10","3","7","0.3437499999999999","0.3437499999999999"
"yjgH","","putative mRNA endoribonuclease","147","62","8","113","94.83870967741936","64.57142857142857","33.48991935483871","2.441175548708116e-32","1.2655298162057743e-27","1.4061442402286382e-28","16","11","5","0.21011352539062492","0.21011352539062492"
"group_10992","ytfT","galactofuranose / galactopyranose ABC transporter - putative membrane subunit","22","135","133","40","14.193548387096774","22.857142857142858","0.04901141743247006","3.2713747283289956e-32","1.6959133729130347e-27","1.6959133729130346e-28","21","11","14","0.18924713134765628","1.0"
"argR_2","","ArgR-arg","6","108","149","67","3.870967741935484","38.285714285714285","0.024981357196122298","4.2399650291013475e-32","2.1980402707364296e-27","1.8317002256136913e-28","11","4","7","0.548828125","0.548828125"
"yfcC_1","","putative inner membrane protein; putative S-transferase","6","108","149","67","3.870967741935484","38.285714285714285","0.024981357196122298","4.2399650291013475e-32","2.1980402707364296e-27","1.8317002256136913e-28","11","4","7","0.548828125","0.548828125"
"group_16829","","hypothetical protein","6","107","149","68","3.870967741935484","38.857142857142854","0.025591168537916327","1.315128186614711e-31","6.817756032229323e-27","5.228483377546895e-28","10","3","7","0.3437499999999999","0.3437499999999999"
"bdcA","","c-di-GMP binding protein involved in biofilm dispersal","148","66","7","109","95.48387096774194","62.28571428571429","34.917748917748916","1.5128421647576903e-31","7.842725066320342e-27","5.228483377546895e-28","11","7","4","0.548828125","0.548828125"
"bdcR","","putative transcriptional regulator","148","66","7","109","95.48387096774194","62.28571428571429","34.917748917748916","1.5128421647576903e-31","7.842725066320342e-27","5.228483377546895e-28","11","7","4","0.548828125","0.548828125"
"group_26460","tabA_1","toxin-antitoxin biofilm protein","6","106","149","69","3.870967741935484","39.42857142857143","0.02621248575408383","4.0530555093414896e-31","2.1011445065977216e-26","1.2359673568221891e-27","12","5","7","0.7744140625000003","0.7744140625000003"
"argI_2","","ornithine carbamoyltransferase chain I","6","106","149","69","3.870967741935484","39.42857142857143","0.02621248575408383","4.0530555093414896e-31","2.1011445065977216e-26","1.2359673568221891e-27","12","5","7","0.7744140625000003","0.7744140625000003"
"group_18856","","hypothetical protein","8","109","147","66","5.161290322580645","37.714285714285715","0.03295263059352181","1.5058736951308845e-30","7.806599822928019e-26","4.3369999016266774e-27","7","2","6","0.125","0.4531249999999996"
"group_21315","rraB","ribonuclease E inhibitor protein B","6","103","149","72","3.870967741935484","41.14285714285714","0.02814882387437284","1.1475186356524937e-29","5.9488513590860925e-25","3.1309743995189963e-26","12","5","7","0.7744140625000003","0.7744140625000003"
"group_753","","hypothetical protein","72","0","83","175","46.45161290322581","100.0","inf","2.444687063443586e-29","1.2673502205597894e-24","6.336751102798948e-26","8","8","0","0.0078125","0.0078125"
"group_11474","","hypothetical protein","11","111","144","64","7.096774193548387","36.57142857142857","0.044044044044044044","1.1778713443307512e-28","6.106202836145047e-24","2.907715636259546e-25","5","2","5","0.0625","1.0"
"group_10329","","hypothetical protein","9","107","146","68","5.806451612903226","38.857142857142854","0.03917552170016643","2.2137051652362374e-28","1.1476068947101178e-23","5.216394975955081e-25","3","1","3","0.25","1.0"
