"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"yjgH","","putative mRNA endoribonuclease","30","44","8","101","78.94736842105263","69.6551724137931","8.607954545454545","7.403791635608217e-08","0.0025016671557556605","0.0004776244150832939","12","8","4","0.3876953125000001","0.3876953125000001"
"argI","","ornithine carbamoyltransferase chain I","31","48","7","97","81.57894736842105","66.89655172413794","8.949404761904763","8.481300099143992e-08","0.0028657464904997634","0.0004776244150832939","7","4","3","0.9999999999999998","0.9999999999999998"
"tabA","","toxin-antitoxin biofilm protein","31","48","7","97","81.57894736842105","66.89655172413794","8.949404761904763","8.481300099143992e-08","0.0028657464904997634","0.0004776244150832939","7","4","3","0.9999999999999998","0.9999999999999998"
"ybcF_2","","putative carbamate kinase","7","97","31","48","18.421052631578945","33.10344827586207","0.1117392750249418","8.481300099143992e-08","0.0028657464904997634","0.0004776244150832939","7","3","4","0.9999999999999998","0.9999999999999998"
"argI_1","","ornithine carbamoyltransferase chain I","7","97","31","48","18.421052631578945","33.10344827586207","0.1117392750249418","8.481300099143992e-08","0.0028657464904997634","0.0004776244150832939","7","3","4","0.9999999999999998","0.9999999999999998"
"arcA","","Arginine deiminase","7","97","31","48","18.421052631578945","33.10344827586207","0.1117392750249418","8.481300099143992e-08","0.0028657464904997634","0.0004776244150832939","7","3","4","0.9999999999999998","0.9999999999999998"
"argR_2","","ArgR-arg","7","96","31","49","18.421052631578945","33.793103448275865","0.11525537634408602","1.1885759705534185e-07","0.004016079346902946","0.0004958397106942294","8","4","4","1.0","1.0"
"yfcC_1","","putative inner membrane protein; putative S-transferase","7","96","31","49","18.421052631578945","33.793103448275865","0.11525537634408602","1.1885759705534185e-07","0.004016079346902946","0.0004958397106942294","8","4","4","1.0","1.0"
"chpS","","ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system","24","26","14","119","63.1578947368421","82.06896551724138","7.846153846153846","1.4674589679902611e-07","0.004958397106942293","0.0004958397106942294","13","11","4","0.022460937500000003","0.26684570312499983"
"chpB_1","","ChpB toxin of the ChpB-ChpS toxin-antitoxin system","24","26","14","119","63.1578947368421","82.06896551724138","7.846153846153846","1.4674589679902611e-07","0.004958397106942293","0.0004958397106942294","13","11","4","0.022460937500000003","0.26684570312499983"
"group_16829","","hypothetical protein","7","95","31","50","18.421052631578945","34.48275862068966","0.11884550084889643","2.4864900288054356e-07","0.008401601158330687","0.000763781923484608","7","3","4","0.9999999999999998","0.9999999999999998"
"argI_2","","ornithine carbamoyltransferase chain I","7","94","31","51","18.421052631578945","35.172413793103445","0.12251201098146877","3.0691797201239066e-07","0.010370451356326669","0.0007977270274097438","9","5","4","1.0","1.0"
"group_26460","tabA_1","toxin-antitoxin biofilm protein","7","94","31","51","18.421052631578945","35.172413793103445","0.12251201098146877","3.0691797201239066e-07","0.010370451356326669","0.0007977270274097438","9","5","4","1.0","1.0"
"group_5104","yhaO","YhaO STP transporter","29","44","9","101","76.31578947368422","69.6551724137931","7.396464646464646","4.7595369403530606e-07","0.016081999367758955","0.001148714240554211","11","6","6","0.9999999999999997","0.9999999999999997"
"bdcA","","c-di-GMP binding protein involved in biofilm dispersal","30","48","8","97","78.94736842105263","66.89655172413794","7.578125","6.297779350536712e-07","0.021279566647528496","0.001329972915470531","8","4","4","1.0","1.0"
"bdcR","","putative transcriptional regulator","30","48","8","97","78.94736842105263","66.89655172413794","7.578125","6.297779350536712e-07","0.021279566647528496","0.001329972915470531","8","4","4","1.0","1.0"
"hsdM_3","","host modification; DNA methylase M","15","8","23","137","39.473684210526315","94.48275862068965","11.168478260869565","6.751905117270412e-07","0.022814012200744995","0.001342000717690882","13","9","4","0.26684570312499983","0.26684570312499983"
"group_18856","","hypothetical protein","8","96","30","49","21.052631578947366","33.793103448275865","0.1361111111111111","7.412718666112321e-07","0.025046835100926923","0.0013914908389403846","5","2","3","1.0","1.0"
"yjgM","","putative acetyltransferase","30","50","8","95","78.94736842105263","65.51724137931035","7.125","9.62312316708167e-07","0.032515570869252254","0.0014829977599750764","8","4","4","1.0","1.0"
"group_7577","aroC","chorismate synthase","8","95","30","50","21.052631578947366","34.48275862068966","0.14035087719298245","9.62312316708167e-07","0.032515570869252254","0.0014829977599750764","5","1","5","0.0625","0.375"
"group_22002","yjgM","putative acetyltransferase","8","95","30","50","21.052631578947366","34.48275862068966","0.14035087719298245","9.62312316708167e-07","0.032515570869252254","0.0014829977599750764","8","4","4","1.0","1.0"
"yjiC","","hypothetical protein","32","58","6","87","84.21052631578947","60.0","8.0","9.920627258331473e-07","0.03352080744317622","0.0014829977599750764","11","7","4","0.548828125","0.548828125"
"group_21315","rraB","ribonuclease E inhibitor protein B","7","91","31","54","18.421052631578945","37.24137931034483","0.13399503722084366","1.0094690129754286e-06","0.034108948479426755","0.0014829977599750764","10","5","5","1.0","1.0"
