"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"aacA4","","Aminoglycoside N(6')-acetyltransferase type 1","50","2","27","47","64.93506493506493","95.91836734693877","43.51851851851852","6.81190133011484e-13","2.250652199469943e-08","2.250652199469943e-08","16","14","2","0.004180908203124999","0.004180908203124999"
"group_2423","lacA_2","galactoside O-acetyltransferase monomer","47","2","30","47","61.038961038961034","95.91836734693877","36.81666666666667","1.0269316559951122e-11","3.3929821914078505e-07","1.388717006234368e-07","15","13","2","0.007385253906249998","0.007385253906249998"
"bla_2","","Beta-lactamase OXA-1","50","3","27","46","64.93506493506493","93.87755102040816","28.395061728395063","1.2609415916171621e-11","4.1661510187031036e-07","1.388717006234368e-07","18","15","3","0.007537841796875001","0.007537841796875001"
"group_10339","","hypothetical protein","7","23","70","26","9.090909090909092","53.06122448979592","0.11304347826086956","2.478915368336493e-06","0.08190336376983773","0.020475840942459432","15","4","13","0.007385253906249998","0.11846923828124997"
"finO","","Fertility inhibition protein","21","34","56","15","27.27272727272727","30.612244897959183","0.16544117647058823","3.8788515244382745e-06","0.12815725436744058","0.02206275009513535","18","10","12","0.23788452148437486","0.8145294189453123"
"group_25898","","hypothetical protein","33","3","44","46","42.857142857142854","93.87755102040816","11.5","4.63333596814067e-06","0.15308542038736775","0.02206275009513535","9","7","3","0.17968750000000003","0.5078125"
"group_1653","","hypothetical protein","42","7","35","42","54.54545454545454","85.71428571428571","7.2","5.050534769251958e-06","0.1668696687760847","0.02206275009513535","14","11","5","0.05737304687500002","0.4239501953124999"
"group_12505","","hypothetical protein","37","5","40","44","48.05194805194805","89.79591836734694","8.14","6.63011340769618e-06","0.21905894699028178","0.02206275009513535","14","11","5","0.05737304687500002","0.4239501953124999"
"recF_2","","DNA replication and repair protein RecF","46","9","31","40","59.74025974025974","81.63265306122449","6.594982078853047","6.879527074909088e-06","0.22729957455499628","0.02206275009513535","17","11","8","0.33230590820312506","0.9999999999999998"
"group_3071","","hypothetical protein","34","4","43","45","44.15584415584416","91.83673469387756","8.895348837209303","9.418709183098457e-06","0.311194151409573","0.02206275009513535","11","9","4","0.06542968749999997","0.548828125"
"nlpA","","lipoprotein-28","52","48","25","1","67.53246753246754","2.0408163265306123","0.043333333333333335","1.072799901822242e-05","0.3544530875620688","0.02206275009513535","12","1","11","0.006347656250000001","0.006347656250000001"
"group_26442","","hypothetical protein","29","2","48","47","37.66233766233766","95.91836734693877","14.197916666666666","1.0951030768344789e-05","0.36182205658611183","0.02206275009513535","5","4","2","0.375","1.0"
"yadV_2","","putative pilin chaperone similar to PapD","29","2","48","47","37.66233766233766","95.91836734693877","14.197916666666666","1.0951030768344789e-05","0.36182205658611183","0.02206275009513535","5","4","2","0.375","1.0"
"yphA_2","","putative inner membrane protein","29","2","48","47","37.66233766233766","95.91836734693877","14.197916666666666","1.0951030768344789e-05","0.36182205658611183","0.02206275009513535","5","4","2","0.375","1.0"
"group_21990","","hypothetical protein","29","2","48","47","37.66233766233766","95.91836734693877","14.197916666666666","1.0951030768344789e-05","0.36182205658611183","0.02206275009513535","5","4","2","0.375","1.0"
"htrE_2","","putative outer membrane usher protein","29","2","48","47","37.66233766233766","95.91836734693877","14.197916666666666","1.0951030768344789e-05","0.36182205658611183","0.02206275009513535","5","4","2","0.375","1.0"
"group_18698","","hypothetical protein","31","3","46","46","40.25974025974026","93.87755102040816","10.333333333333334","1.1828683303868458e-05","0.39081969635981384","0.02206275009513535","8","6","3","0.2890624999999999","0.7265625000000002"
"group_19232","","F17d-G fimbrial adhesin","28","2","49","47","36.36363636363637","95.91836734693877","13.428571428571429","1.2687416822263065e-05","0.41919225180757164","0.02206275009513535","4","3","2","0.625","1.0"
"group_22233","sfmF","putative fimbrial-like adhesin protein","28","2","49","47","36.36363636363637","95.91836734693877","13.428571428571429","1.2687416822263065e-05","0.41919225180757164","0.02206275009513535","4","3","2","0.625","1.0"
"metG_2","","methionyl-tRNA synthetase","0","11","77","38","0.0","77.55102040816327","0.0","1.4340945220692413e-05","0.47382483009167736","0.02369124150458387","5","0","5","0.0625","0.0625"
"group_25716","","hypothetical protein","44","9","33","40","57.14285714285714","81.63265306122449","5.925925925925926","1.704934280794418e-05","0.5633102863744757","0.026778937709234885","16","10","8","0.45449829101562506","1.0"
"group_15808","argI_2","ornithine carbamoyltransferase chain I","38","6","39","43","49.35064935064935","87.75510204081633","6.982905982905983","1.7962372133696727e-05","0.5934767752973399","0.026778937709234885","12","8","5","0.3876953125000001","0.7744140625000003"
"group_18332","","hypothetical protein","33","4","44","45","42.857142857142854","91.83673469387756","8.4375","1.8641512327857215e-05","0.6159155673124024","0.026778937709234885","8","5","4","0.7265625000000002","1.0"
"group_4471","rrrD","DLP12 prophage; lysozyme","24","1","53","48","31.16883116883117","97.95918367346938","21.735849056603772","2.103924720635088e-05","0.6951367276978331","0.027242675363431227","4","4","1","0.125","0.625"
"group_1861","","hypothetical protein","24","1","53","48","31.16883116883117","97.95918367346938","21.735849056603772","2.103924720635088e-05","0.6951367276978331","0.027242675363431227","3","2","1","1.0","1.0"
"group_18711","","hypothetical protein","30","3","47","46","38.961038961038966","93.87755102040816","9.787234042553191","2.3152062393271882e-05","0.764944141473703","0.027242675363431227","7","5","3","0.4531249999999996","0.9999999999999998"
"group_9966","insC-1_2","IS2 element protein InsA","30","3","47","46","38.961038961038966","93.87755102040816","9.787234042553191","2.3152062393271882e-05","0.764944141473703","0.027242675363431227","7","5","3","0.4531249999999996","0.9999999999999998"
"group_21782","pinR","Rac prophage; predicted site-specific recombinase","40","7","37","42","51.94805194805194","85.71428571428571","6.486486486486487","2.344099636484257e-05","0.7744905198943985","0.027242675363431227","15","10","7","0.30175781250000017","0.9999999999999997"
"group_14714","","hypothetical protein","27","2","50","47","35.064935064935064","95.91836734693877","12.69","2.4736085378418184e-05","0.8172802609029368","0.027242675363431227","4","3","2","0.625","1.0"
"group_7427","","P fimbrial regulatory protein KS71A","27","2","50","47","35.064935064935064","95.91836734693877","12.69","2.4736085378418184e-05","0.8172802609029368","0.027242675363431227","4","3","2","0.625","1.0"
