"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","upec-98_11162019","upec-99_11172019"
"group_101","","hypothetical protein","2","2","1","91","249","","","","1571","2228","1899","upec-98_04171","upec-99_03952"
"ybeM_2","","hypothetical protein","2","2","1","89","675","","","","563","788","675","upec-98_04263","upec-99_03576"
"nagC_1","","NagC DNA-binding transcriptional dual regulator","2","2","1","89","640","","","","896","1220","1058","upec-98_04298","upec-99_04044"
"speF_1","","ornithine decarboxylase, degradative","2","2","1","89","616","","","","710","2198","1454","upec-98_04322","upec-99_04061"
"ybhI","","YbhI DASS Transporter","2","2","1","89","543","","","","941","1433","1187","upec-98_04384","upec-99_03193"
"ysgA_2","","putative hydrolase","2","2","1","91","1103","","","","143","887","515","upec-98_01988","upec-99_04206"
"group_111","","hypothetical protein","2","2","1","89","443","","","","845","1430","1137","upec-98_04482","upec-99_03294"
"ymgD","","putative protein","2","2","1","91","1563","","","","155","329","242","upec-98_04793","upec-99_03097"
"cvrA","","YcgO CPA1 Transporter","2","2","1","91","1583","","","","1382","1736","1559","upec-98_04812","upec-99_03076"
"insN-2","","KpLE2 phage-like element; partial regulator of insertion element IS911B (interrupted)","2","2","1","91","85","","","","272","287","279","upec-98_00053","upec-99_02537"
"aroE","","shikimate dehydrogenase","2","2","1","81","11","","","","818","818","818","upec-98_00069","upec-99_02669"
"group_123","","hypothetical protein","2","2","1","81","14","","","","473","473","473","upec-98_00072","upec-99_02672"
"fmt","","10-formyltetrahydrofolate:L-methionyl-tRNAfMet N-formyltransferase","2","2","1","81","17","","","","947","947","947","upec-98_00075","upec-99_02675"
"rsmB","","16S rRNA m5C967 methyltransferase","2","2","1","81","18","","","","1289","1289","1289","upec-98_00076","upec-99_02676"
"group_126","","hypothetical protein","2","2","1","81","23","","","","368","368","368","upec-98_00081","upec-99_02681"
"gspB","","calcium-binding protein required for initiation of chromosome replication","2","2","1","81","52","","","","419","419","419","upec-98_00110","upec-99_02710"
"gspA","","general secretory pathway component, cryptic","2","2","1","81","53","","","","1469","1469","1469","upec-98_00111","upec-99_02711"
"gspC","","putative protein secretion protein for export","2","2","1","81","54","","","","815","815","815","upec-98_00112","upec-99_02712"
"gapA_4","","glyceraldehyde 3-phosphate dehydrogenase-A monomer","2","2","1","91","1791","","","","251","1001","626","upec-98_02172","upec-99_02267"
"gspH","","putative protein secretion protein for export","2","2","1","81","60","","","","509","509","509","upec-98_00117","upec-99_02717"
"gspK_1","","putative protein secretion protein for export","2","2","1","81","8","","","","983","983","983","upec-98_00120","upec-99_02720"
"gspL","","putative protein secretion protein for export","2","2","1","81","7","","","","1163","1163","1163","upec-98_00121","upec-99_02721"
"gspM","","putative protein secretion protein","2","2","1","81","6","","","","461","461","461","upec-98_00122","upec-99_02722"
"gspO","","leader peptidase, integral membrane protein","2","2","1","81","5","","","","677","677","677","upec-98_00123","upec-99_02723"
"chiA","","endochitinase","2","2","1","81","2","","","","2693","2702","2697","upec-98_00126","upec-99_02726"
"btuB","","vitamin B12 / E colicin / bacteriophage BF23 outer membrane porin BtuB","2","2","1","85","52","","","","1844","1844","1844","upec-98_00166","upec-99_04184"
"argC","","N-acetylglutamylphosphate reductase","2","2","1","85","63","","","","1004","1004","1004","upec-98_00178","upec-99_04176"
"pflC","","putative pyruvate formate lyase 2 activating enzyme","2","2","1","85","69","","","","878","878","878","upec-98_00184","upec-99_04170"
"fsaB","","fructose 6-phosphate aldolase 2","2","2","1","85","74","","","","662","662","662","upec-98_00189","upec-99_04165"
"group_140","","hypothetical protein","2","2","1","85","88","","","","608","608","608","upec-98_00203","upec-99_04156"
"fpr","","flavodoxin NADP  reductase","2","2","1","85","101","","","","746","746","746","upec-98_00216","upec-99_04143"
"cdh","","CDP-diglyceride hydrolase / CDP-diacylglycerol pyrophosphatase","2","2","1","85","107","","","","755","755","755","upec-98_00222","upec-99_04137"
"rhaM","","L-rhamnose mutarotase","2","2","1","85","127","","","","314","314","314","upec-98_00238","upec-99_04120"
"yihF","","putative GTP-binding protein","2","2","1","85","9","","","","1430","1430","1430","upec-98_00277","upec-99_04077"
"ilvB_2","","acetohydroxybutanoate synthase / acetolactate synthase","2","2","1","82","14","","","","1646","1646","1646","upec-98_00307","upec-99_03618"
"ilvY","","IlvY DNA-binding transcriptional dual regulator","2","2","1","82","19","","","","893","959","926","upec-98_00312","upec-99_03623"
"aslB","","putative anaerobic sulfatase maturation enzyme","2","2","1","82","42","","","","1235","1235","1235","upec-98_00337","upec-99_03650"
"hemD","","uroporphyrinogen III synthase","2","2","1","82","46","","","","740","740","740","upec-98_00341","upec-99_03654"
"yigE","","putative protein","2","2","1","82","58","","","","764","764","764","upec-98_00355","upec-99_03664"
"rutG_1","","putative xanthine/uracil transporter","2","2","1","89","321","","","","692","1049","870","upec-98_04607","upec-99_03429"
"dkgB","","4-nitrobenzaldehyde reductase [multifunctional]","2","2","1","79","2","","","","803","803","803","upec-98_00414","upec-99_03700"
"group_151","","hypothetical protein","2","2","1","79","4","","","","779","824","801","upec-98_00416","upec-99_03702"
"murB","","UDP-N-acetylenolpyruvoylglucosamine reductase","2","2","1","56","1","","","","1028","1028","1028","upec-98_00444","upec-99_00212"
"birA","","bifunctional biotin-[acetyl-CoA-carboxylase] ligase and transcriptional repressor","2","2","1","56","2","","","","965","965","965","upec-98_00445","upec-99_00211"
"yedK","","putative protein","2","2","1","88","355","","","","497","668","582","upec-98_00452","upec-99_02229"
"fliT","","flagellar biosynthesis protein FliT","2","2","1","88","360","","","","365","365","365","upec-98_00457","upec-99_02234"
"fliZ","","FliZ DNA-binding transcriptional regulator","2","2","1","88","365","","","","551","551","551","upec-98_00462","upec-99_02239"
"dcyD","","D-cysteine desulfhydrase monomer","2","2","1","88","367","","","","200","986","593","upec-98_00464","upec-99_02241"
"yecR","","putative protein","2","2","1","88","381","","","","323","323","323","upec-98_00479","upec-99_01370"
"uspC","","universal stress protein","2","2","1","88","389","","","","428","428","428","upec-98_00487","upec-99_01362"
