"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"chpB_2","","ChpB toxin of the ChpB-ChpS toxin-antitoxin system","8","6","5","207","61.53846153846154","97.1830985915493","55.2","2.290836508365341e-08","0.0008472429742538378","0.0008472429742538378","7","6","2","0.125","0.4531249999999996"
"group_21324","mazE","MazE antitoxin of the MazF-MazE toxin-antitoxin system","8","7","5","206","61.53846153846154","96.71361502347418","47.08571428571429","4.806485082115535e-08","0.0017776304427696095","0.0008888152213848047","8","6","3","0.2890624999999999","0.7265625000000002"
"group_21782","pinR","Rac prophage; predicted site-specific recombinase","8","8","5","205","61.53846153846154","96.24413145539906","41.0","9.41155267268831e-08","0.003480768640467045","0.001160256213489015","8","6","3","0.2890624999999999","0.7265625000000002"
"group_5485","","hypothetical protein","6","2","7","211","46.15384615384615","99.06103286384976","90.42857142857143","2.6263923034825144e-07","0.009713449295199732","0.002428362323799933","6","4","2","0.6875000000000002","0.6875000000000002"
"group_4796","","hypothetical protein","7","6","6","207","53.84615384615385","97.1830985915493","40.25","4.673396131128068e-07","0.017284088251364047","0.0028806813752273413","7","6","3","0.125","0.9999999999999998"
"vapB","","Antitoxin VapB","7","6","6","207","53.84615384615385","97.1830985915493","40.25","4.673396131128068e-07","0.017284088251364047","0.0028806813752273413","7","5","3","0.4531249999999996","0.9999999999999998"
"bla_1","","Beta-lactamase CTX-M-1","6","3","7","210","46.15384615384615","98.59154929577466","60.0","7.662828663015109e-07","0.02834020552729508","0.0033720933528480603","5","5","2","0.0625","1.0"
"group_21812","","hypothetical protein","6","3","7","210","46.15384615384615","98.59154929577466","60.0","7.662828663015109e-07","0.02834020552729508","0.0033720933528480603","5","5","2","0.0625","1.0"
"group_12256","","hypothetical protein","7","7","6","206","53.84615384615385","96.71361502347418","34.333333333333336","9.117708611421317e-07","0.0337209335284806","0.0033720933528480603","8","6","4","0.2890624999999999","1.0"
"bla_2","","Beta-lactamase OXA-1","7","7","6","206","53.84615384615385","96.71361502347418","34.333333333333336","9.117708611421317e-07","0.0337209335284806","0.0033720933528480603","7","6","5","0.125","0.4531249999999996"
"group_26084","","hypothetical protein","5","1","8","212","38.46153846153847","99.53051643192488","132.5","1.5937187230162742e-06","0.05894209325203389","0.004593231004328962","4","4","1","0.125","0.625"
"tmrB","","Tunicamycin resistance protein","5","1","8","212","38.46153846153847","99.53051643192488","132.5","1.5937187230162742e-06","0.05894209325203389","0.004593231004328962","4","4","1","0.125","0.625"
"ccdA_2","","Antitoxin CcdA","7","8","6","205","53.84615384615385","96.24413145539906","29.895833333333332","1.6675136201727312e-06","0.06167132372846829","0.004593231004328962","7","5","3","0.4531249999999996","0.9999999999999998"
"group_21135","","hypothetical protein","6","4","7","209","46.15384615384615","98.12206572769952","44.785714285714285","1.862926267167814e-06","0.06889846506493444","0.004593231004328962","7","4","3","0.9999999999999998","0.9999999999999998"
"group_1644","","hypothetical protein","6","4","7","209","46.15384615384615","98.12206572769952","44.785714285714285","1.862926267167814e-06","0.06889846506493444","0.004593231004328962","7","4","3","0.9999999999999998","0.9999999999999998"
"group_5723","","hypothetical protein","7","9","6","204","53.84615384615385","95.77464788732394","26.444444444444443","2.891267692852879e-06","0.10693064435247088","0.00668316527202943","9","6","4","0.5078125","1.0"
