"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","A_11102019","K_11082019"
"sppA_1","","Putative signal peptide peptidase SppA","2","2","1","114","32","","","","743","1319","1031","A_00175","K_02885"
"aqpZ","","Aquaporin Z","2","2","1","135","559","","","","239","695","467","A_02911","K_04940"
"cysH_2","","Phosphoadenosine phosphosulfate reductase","2","2","1","135","30","","","","458","1220","839","A_03104","K_04608"
"ydiV","","Putative anti-FlhC(2)FlhD(4) factor YdiV","2","2","1","129","139","","","","248","713","480","A_03237","K_02203"
"cynR_4","","hypothetical protein","2","2","1","134","814","","","","311","896","603","A_03397","K_03486"
"crfC_1","","Clamp-binding protein CrfC","2","2","1","134","638","","","","1658","2228","1943","A_03469","K_02922"
"group_109","yedQ_1","putative diguanylate cyclase YedQ","2","2","1","131","229","","","","1217","1694","1455","A_03759","K_00325"
"group_111","","Invasin","2","2","1","131","257","","","","1802","2450","2126","A_03823","K_00304"
"carB_2","","Carbamoyl-phosphate synthase large chain","2","2","1","132","159","","","","2156","3221","2688","A_03957","K_01179"
"yicJ_1","","Inner membrane symporter YicJ","2","2","1","134","491","","","","227","1382","804","A_04005","K_03917"
"icsA_2","","Outer membrane protein IcsA autotransporter","2","2","1","125","33","","","","1016","1448","1232","A_04163","K_04345"
"lgoT","","putative L-galactonate transporter","2","2","1","132","81","","","","836","1361","1098","A_04454","K_03366"
"group_121","","hypothetical protein","2","2","1","126","130","","","","614","980","797","A_04568","K_01993"
"group_123","","hypothetical protein","2","2","1","135","565","","","","701","1430","1065","A_00001","K_04934"
"group_124","","hypothetical protein","2","2","1","135","586","","","","287","287","287","A_00020","K_04911"
"grxA","","Glutaredoxin-1","2","2","1","135","587","","","","257","257","257","A_00021","K_04910"
"ybjJ","","Inner membrane protein YbjJ","2","2","1","135","591","","","","1127","1208","1167","A_00025","K_04906"
"yliI","","Soluble aldose sugar dehydrogenase YliI","2","2","1","135","599","","","","911","1115","1013","A_00033","K_04898"
"moeA","","Molybdopterin molybdenumtransferase","2","2","1","135","611","","","","1235","1235","1235","A_00045","K_04886"
"moeB","","Molybdopterin-synthase adenylyltransferase","2","2","1","135","612","","","","749","749","749","A_00046","K_04885"
"group_13","","hypothetical protein","2","2","1","114","49","","","","440","698","569","A_00187","K_04055"
"ybiA","","N-glycosidase YbiA","2","2","1","135","639","","","","449","449","449","A_00074","K_04854"
"clsB","","Cardiolipin synthase B","2","2","1","135","648","","","","1070","1241","1155","A_00083","K_04845"
"ampC","","Beta-lactamase","2","2","1","134","233","","","","1133","1133","1133","A_00099","K_02967"
"group_133","","hypothetical protein","2","2","1","134","237","","","","125","125","125","A_00103","K_02963"
"epmB","","L-lysine 2,3-aminomutase","2","2","1","134","239","","","","1028","1028","1028","A_00105","K_02961"
"group_135","","hypothetical protein","2","2","1","134","240","","","","869","869","869","A_00106","K_02960"
"group_136","","hypothetical protein","2","2","1","130","175","","","","794","794","794","A_00118","K_00924"
"priC","","Primosomal replication protein N''","2","2","1","130","190","","","","527","527","527","A_00133","K_00909"
"group_138","","hypothetical protein","2","2","1","110","26","","","","281","293","287","A_00156","K_02844"
"group_139","","hypothetical protein","2","2","1","110","25","","","","275","275","275","A_00157","K_02845"
"group_140","","hypothetical protein","2","2","1","110","24","","","","278","278","278","A_00158","K_02846"
"group_143","","hypothetical protein","2","2","1","114","41","","","","578","578","578","A_00180","K_05014"
"group_144","","hypothetical protein","2","2","1","114","42","","","","395","395","395","A_00181","K_05013"
"group_145","","hypothetical protein","2","2","1","114","53","","","","434","434","434","A_00184","K_05010"
"group_146","","hypothetical protein","2","2","1","114","52","","","","674","2579","1626","A_00185","K_04057"
